control,covered,test_count,tests
R01,yes,1,tests/engine/escrow-analysis.test.ts: R01_escrow_purpose: closing escrow is not a servicing purpose
R02,yes,2,tests/engine/escrow-analysis.test.ts: R02_aggregate_trial_balances: month-by-month projection from a zero opening balance | tests/engine/escrow-analysis.test.ts: R02_annual_conservation: ceil(annual/12) deposits with a final-month adjustment sum exactly to annual
R03,yes,1,"tests/engine/escrow-analysis.test.ts: R03_cushion_cap T3_cushion_cap: never exceeds min(1/6 annual, state cap, contract cap) (property)"
R04,yes,1,tests/engine/boarding.test.ts: R04_initial_deposit: the CD initial escrow deposit enters tax and hazard pro-rata to the cent
R05,yes,3,"tests/engine/escrow-statements.test.ts: R05_initial_statement_content: payment split, initial deposit, cushion, dated disbursements and month-by-month projection | tests/engine/statements.test.ts: R05_initial_statement_deadline: at settlement or within 45 days; day 45 on time, day 46 late | tests/testnet/loan-year.test.ts: R05_R06_statement_documents_delivered_on_time"
R06,yes,3,"tests/engine/escrow-statements.test.ts: R06_annual_statement_activity_tieout: running balances, totals, tie-out, prior projection reference and elected resolution | tests/engine/escrow-statements.test.ts: R06_delivery_evidence: generation is not furnishing; electronic needs consent; late delivery is flagged | tests/engine/statements.test.ts: R06_annual_statement_deadline: within 30 days of the computation year end; day 30 on time, day 31 late"
R07,yes,2,tests/engine/escrow-analysis.test.ts: R07_surplus_options T4_surplus_boundary: $50.00 vs $49.99 and current vs delinquent | tests/engine/escrow-analysis.test.ts: R07_delinquent_loan_document_review: not current and not balanced -> only loan_document_review; current keeps the $50 rule
R08,yes,2,"tests/engine/escrow-analysis.test.ts: R08_shortage_options T5_shortage_boundary: 30-day option only under one month; at least 12 months otherwise | tests/engine/escrow-analysis.test.ts: R08_installments_conserve_cents: shortage over >= 12 equal monthly payments, residual cents on the earliest installments"
R09,yes,2,tests/engine/escrow-analysis.test.ts: R09_deficiency_options T5_deficiency_boundary: 30 days or 2+ payments under one month; 2+ payments otherwise (not 12) | tests/engine/escrow-analysis.test.ts: R09_installments_conserve_cents: deficiency over >= 2 equal payments (not 12); shortage component separately over >= 12
R10,yes,1,tests/engine/disburse.test.ts: R10_advance_when_short: funded balance -> escrow without advance
R11,yes,4,"tests/engine/evidence-pack.test.ts: R11_only | tests/engine/transfer-cases.test.ts: R11_transfer_notices: 15 days before, 15 days after, 60-day grace | tests/engine/transfer-cases.test.ts: R11_transfer_package_manifest | tests/engine/transfer-cases.test.ts: R11_transferred_payment_protection"
R12,yes,3,tests/engine/case-workflows.test.ts: R12_request_case_lifecycle | tests/engine/case-workflows.test.ts: R12_exception_routes_to_specialist | tests/engine/transfer-cases.test.ts: R12_noe_rfi_clocks: business days skip the weekend and Veterans Day
R13,yes,3,"tests/engine/case-workflows.test.ts: R13_force_placed_case_blocks_early_charge | tests/engine/case-workflows.test.ts: R13_force_placed_refund_within_15_days | tests/engine/transfer-cases.test.ts: R13_force_placed: 45 days before charging, reminder at least 30 days after the first notice, 15-day refund"
R14,yes,10,"tests/engine/bank-receipts.test.ts: T13_bank_receipt_feeds_three_way_match: the parsed file is the bank side of R14 | tests/engine/event-log.test.ts: R14_migration_applies_with_expected_columns | tests/engine/event-log.test.ts: R14_append_three_events_and_read_verifies_chain | tests/engine/event-log.test.ts: R14_tamper_detection_on_read_and_verify | tests/engine/event-log.test.ts: R14_update_and_delete_rejected_by_trigger | tests/engine/event-log.test.ts: R14_in_memory_store_matches_postgres_semantics | tests/engine/evidence-pack.test.ts: R14_control_map_every_control_has_a_named_test: R01-R31, the documented S controls, T1-T14 all covered by the offline suite | tests/engine/evidence-pack.test.ts: R14_evidence_pack_from_run_record: the demo run record builds a complete pack with a manifest that re-hashes | tests/engine/evidence-pack.test.ts: R14_evidence_pack_rejects_a_record_without_identity | tests/engine/tax-reconcile.test.ts: R14_three_way_match: matched when bank, subledger and ledger agree; differences raise"
